reference_id,title,manual_type_normalized,system_name,page_count,text_page_count,image_only_page_count,resolved_local_path
TEA-ATM-291EE98FB0,COMPONENTS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\VALVE BODY\COMPONENTS [291ee98fb013d946efdc65263ca97dff].pdf
TEA-ATM-EE402DD205,COMPONENTS,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\UPPER VALVE BODY\COMPONENTS [ee402dd2052022fd65256d6b81e3090a].pdf
TEA-ATM-6F2B4241BB,COMPONENTS,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\LOWER VALVE BODY\COMPONENTS [6f2b4241bb722d4d0ae890ae778888c5].pdf
TEA-ATM-B56534ABD4,DIRECT CLUTCH ASSEMBLY,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\DIRECT CLUTH\DIRECT CLUTCH ASSEMBLY [b56534abd4b20b1421553dac14f2e8f9].pdf
TEA-ATM-C530DE5E13,DIRECT CLUTCH INSPECTION,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\DIRECT CLUTH\DIRECT CLUTCH INSPECTION [c530de5e13c3f3edd20d58a203ab8891].pdf
TEA-ATM-F0EE1505EA,EXTENSION HOUSING DISASSEMBLY,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\EXTENSION HOUSING\EXTENSION HOUSING DISASSEMBLY [f0ee1505eae6f08a0f612d242efc2021].pdf
TEA-ATM-29268BE482,FIRST AND REVERSE BRAKE ASSEMBLY,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FIRST AND REVERSE BRAKE\FIRST AND REVERSE BRAKE ASSEMBLY [29268be482760eb38a43712210c972ae].pdf
TEA-ATM-273985E56B,FIRST AND REVERSE BRAKE INSPECTION,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FIRST AND REVERSE BRAKE\FIRST AND REVERSE BRAKE INSPECTION [273985e56b01e56e8f7628e6fe4a6c18].pdf
TEA-ATM-8CB27E85A5,FORWARD CLUTCH ASSEMBLY,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FORWARD CLUTCH\FORWARD CLUTCH ASSEMBLY [8cb27e85a598342ab7694ff28df857c0].pdf
TEA-ATM-76A1868914,FORWARD CLUTCH INSPECTION,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FORWARD CLUTCH\FORWARD CLUTCH INSPECTION [76a18689142023f5e3080fe0e044fc31].pdf
TEA-ATM-503A8A4FCA,FRONT PLANETARY GEAR INSPECTION,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FRONT PLANETARY GEAR\FRONT PLANETARY GEAR INSPECTION [503a8a4fca63618b8dcef759ddcd26cc].pdf
TEA-ATM-69B2D5E1A7,GENERAL DESCRIPTION,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\DESCRIPTION\GENERAL DESCRIPTION [69b2d5e1a73b17fbafab96667960a9dd].pdf
TEA-ATM-E026494410,GENERAL NOTES,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS\GENERAL NOTES [e02649441045edf971d80f4e0e481887].pdf
TEA-ATM-39F65A9313,GENERAL REPAIR INSTRUCTIONS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\GENERAL REPAIR INSTRUCTIONS [39f65a931384dde14493ed00da1ecc5c].pdf
TEA-ATM-2E60C2902A,HOW TO USE THIS MANUAL,Automatic Transmission Manual,Transmission,3,0,3,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\HOW TO USE THIS MANUAL [2e60c2902af7be64e1380611046fdfd8].pdf
