reference_id,document_uid,manufacturer,model_name,chassis_code,engine_code,transmission_code,model_year,title,manual_type_original,manual_type_normalized,system_name,section_path,download_status,source_url,source_hash,original_local_path,resolved_local_path,file_exists,pdf_valid,size_bytes,sha256,error
TEA-RM-5611C012BF,5b7bb6c6-927f-532a-90e1-a758f11858aa,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / CONDENSER,downloaded,http://century.trinom.org/public/5611c012bf3c629e6471fce0dcd3ce70.pdf,5611c012bf3c629e6471fce0dcd3ce70,PDFs\Repair Manual\AIR CONDITIONING\CONDENSER\REMOVAL [5611c012bf3c629e6471fce0dcd3ce70].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\CONDENSER\REMOVAL [5611c012bf3c629e6471fce0dcd3ce70].pdf,1,1,69365,00fac3e67f0246e4c4c5f17a9003de3f259bf251f456b1b526639e879b0c02c1,
TEA-RM-2DB90B5400,61ed8f47-2dfb-536a-a3ee-ed1f8aa56974,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / EVAPORATOR,downloaded,http://century.trinom.org/public/2db90b540050cca920434528f061e08e.pdf,2db90b540050cca920434528f061e08e,PDFs\Repair Manual\AIR CONDITIONING\EVAPORATOR\REMOVAL [2db90b540050cca920434528f061e08e].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\EVAPORATOR\REMOVAL [2db90b540050cca920434528f061e08e].pdf,1,1,105387,0792da3b5b69b838150b4619af66ec9d1d7f2cc69eb064384fc4937774c8421a,
TEA-RM-56249C5697,c2979507-706a-577d-87b2-2adb4a8abeac,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / HEATER RADIATOR,downloaded,http://century.trinom.org/public/56249c5697b01d175820f19dbd43f349.pdf,56249c5697b01d175820f19dbd43f349,PDFs\Repair Manual\AIR CONDITIONING\HEATER RADIATOR\REMOVAL [56249c5697b01d175820f19dbd43f349].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\HEATER RADIATOR\REMOVAL [56249c5697b01d175820f19dbd43f349].pdf,1,1,46028,5eda4bbc955fd09045379a56e0a7ff98c42f1cdf59ce173c81e214e0a43036af,
TEA-RM-D94FB9F2C7,f8abd052-703e-558c-93bf-2878622018bd,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / PRESSURE SENSOR,downloaded,http://century.trinom.org/public/d94fb9f2c79dfed0a71f286cee2d0ade.pdf,d94fb9f2c79dfed0a71f286cee2d0ade,PDFs\Repair Manual\AIR CONDITIONING\PRESSURE SENSOR\REMOVAL [d94fb9f2c79dfed0a71f286cee2d0ade].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\PRESSURE SENSOR\REMOVAL [d94fb9f2c79dfed0a71f286cee2d0ade].pdf,1,1,56742,70ac2997facd4699a613a166fda9e6f04334607bc91cb7371d649f0670a25d65,
TEA-RM-2700F80671,beaa532c-6a18-5d74-b863-c401055fc4ae,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / REAR A_C CONTROL ASSEMBLY,downloaded,http://century.trinom.org/public/2700f80671ac47f41d2e1250a357c85b.pdf,2700f80671ac47f41d2e1250a357c85b,PDFs\Repair Manual\AIR CONDITIONING\REAR A_C CONTROL ASSEMBLY\REMOVAL [2700f80671ac47f41d2e1250a357c85b].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\REAR A_C CONTROL ASSEMBLY\REMOVAL [2700f80671ac47f41d2e1250a357c85b].pdf,1,1,71597,1281bee40718c1f90581bc408b99512b9f362e72bc8edbf7d03abfce60788971,
TEA-RM-114597F590,3883c23e-8f97-53bd-a6b5-36b764d92b97,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / AIR REFINER FILTER (for Front A_C),downloaded,http://century.trinom.org/public/114597f5906bf25c79c53e02294214aa.pdf,114597f5906bf25c79c53e02294214aa,PDFs\Repair Manual\AIR CONDITIONING\AIR REFINER FILTER (for Front A_C)\REMOVAL [114597f5906bf25c79c53e02294214aa].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\AIR REFINER FILTER (for Front A_C)\REMOVAL [114597f5906bf25c79c53e02294214aa].pdf,1,1,36801,7f17d29f3cd14e9ac2148ae556b376a9c91bb3b9f34d0a11cd30e7036fbe0a20,
TEA-RM-03BBA6E12C,4b788311-133b-5abc-b23e-1b86ac6b26ab,Toyota,Century,GZG50,,,1997,REMOVAL,Repair Manual,Repair Manual,General,AIR CONDITIONING / AIR REFINER FILTER (for Rear Cooler),downloaded,http://century.trinom.org/public/03bba6e12ceed0827210883ed06e550e.pdf,03bba6e12ceed0827210883ed06e550e,PDFs\Repair Manual\AIR CONDITIONING\AIR REFINER FILTER (for Rear Cooler)\REMOVAL [03bba6e12ceed0827210883ed06e550e].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\AIR REFINER FILTER (for Rear Cooler)\REMOVAL [03bba6e12ceed0827210883ed06e550e].pdf,1,1,46546,51cd886147ed0395844009c41f8ee9dffc85bfda6758567c0674aa11289c2f76,
TEA-RM-B1F9A45C2D,41774dbe-509b-5483-ba8b-6928a92f5a8f,Toyota,Century,GZG50,,,1997,REPLACEMENT,Repair Manual,Repair Manual,General,SUPPLEMENTAL RESTRAINT SYSTEM / WIRE HARNESS AND CONNECTOR,downloaded,http://century.trinom.org/public/b1f9a45c2d9b64f64831396fa14620ed.pdf,b1f9a45c2d9b64f64831396fa14620ed,PDFs\Repair Manual\SUPPLEMENTAL RESTRAINT SYSTEM\WIRE HARNESS AND CONNECTOR\REPLACEMENT [b1f9a45c2d9b64f64831396fa14620ed].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\SUPPLEMENTAL RESTRAINT SYSTEM\WIRE HARNESS AND CONNECTOR\REPLACEMENT [b1f9a45c2d9b64f64831396fa14620ed].pdf,1,1,32129,666f3d276e21e7934e5c256089aa756e83bea2a8203f1838da3082c915a93ebf,
TEA-RM-8FCC1A408C,1d52e5ec-88bd-58b3-8055-f257cd34919a,Toyota,Century,GZG50,,,1997,REPLACEMENT,Repair Manual,Repair Manual,General,AIR CONDITIONING / REFRIGERANT LINE,downloaded,http://century.trinom.org/public/8fcc1a408c6b914f9386d9948eebbdae.pdf,8fcc1a408c6b914f9386d9948eebbdae,PDFs\Repair Manual\AIR CONDITIONING\REFRIGERANT LINE\REPLACEMENT [8fcc1a408c6b914f9386d9948eebbdae].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\REFRIGERANT LINE\REPLACEMENT [8fcc1a408c6b914f9386d9948eebbdae].pdf,1,1,40867,cafc4d9623e589387c13ebdd1d9bde5f0dcca8e30ec41dfa38ddb25119e25164,
TEA-RM-86F5DDD2AB,bba474da-f7cc-5021-943c-645ab627cd81,Toyota,Century,GZG50,,,1997,Rear A/C Control Assembly Circuit,Repair Manual,Repair Manual,General,DIAGNOSTICS / AIR CONDITIONING SYSTEM,downloaded,http://century.trinom.org/public/86f5ddd2ab01bc2216c1be6b1eb1c947.pdf,86f5ddd2ab01bc2216c1be6b1eb1c947,PDFs\Repair Manual\DIAGNOSTICS\AIR CONDITIONING SYSTEM\Rear A_C Control Assembly Circuit [86f5ddd2ab01bc2216c1be6b1eb1c947].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\DIAGNOSTICS\AIR CONDITIONING SYSTEM\Rear A_C Control Assembly Circuit [86f5ddd2ab01bc2216c1be6b1eb1c947].pdf,1,1,66455,2d3ec2698e2eb56c60b09656968e6280452a949f36ba6f7fad48e2e184cb090d,
